m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
760,Water use,Water withdrawal by sector,Total water withdrawal,Syrian Arab Republic,2016,16.7604,10^9 m3/year,E,false
760,Water use,Water withdrawal by sector,Total water withdrawal,Syrian Arab Republic,2017,16.7604,10^9 m3/year,E,false
760,Water use,Water withdrawal by sector,Total water withdrawal,Syrian Arab Republic,2018,16.7604,10^9 m3/year,E,false
760,Water use,Water withdrawal by sector,Total water withdrawal,Syrian Arab Republic,2019,16.7604,10^9 m3/year,E,false
760,Water use,Water withdrawal by sector,Total water withdrawal,Syrian Arab Republic,2020,16.7604,10^9 m3/year,E,false
760,Water use,Water withdrawal by sector,Total water withdrawal,Syrian Arab Republic,2021,16.7604,10^9 m3/year,E,false
760,Water use,Water withdrawal by sector,Total water withdrawal,Syrian Arab Republic,2022,16.7604,10^9 m3/year,E,false
788,Water use,Water withdrawal by sector,Total water withdrawal,Tunisia,2000,2.64,10^9 m3/year,E,false
788,Water use,Water withdrawal by sector,Total water withdrawal,Tunisia,2001,2.85,10^9 m3/year,E,false
788,Water use,Water withdrawal by sector,Total water withdrawal,Tunisia,2002,2.8955,10^9 m3/year,I,false
788,Water use,Water withdrawal by sector,Total water withdrawal,Tunisia,2003,2.941,10^9 m3/year,I,false
