m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
12,Geography and population,Population,Rural population,Algeria,2000,12498.847,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2001,12411.94,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2002,12317.847,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2003,12221.443,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2004,12127.441,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2005,12040.491,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2006,11959.903,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2007,11885.693,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2008,11818.949,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2009,11765.339,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2010,11723.941,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2011,11695.477,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2012,11677.502,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2013,11664.03,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2014,11647.651,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2015,11623.281,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2016,11589.537,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2017,11547.532,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2018,11498.038,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2019,11442.587,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2020,11382.345,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2021,11317.455,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2022,11247.753,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2000,77.278,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2001,81.13,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2002,85.478,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2003,90.466,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2004,96.27,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2005,102.947,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2006,110.681,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2007,119.256,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2008,127.843,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2009,135.345,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2010,141.04,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2011,144.51,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2012,146.117,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2013,146.861,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2014,148.146,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2015,150.912,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2016,155.487,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2017,161.409,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2018,167.867,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2019,173.716,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2020,178.17,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2021,181.021,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2022,182.577,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2000,39988.667,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2001,40711.513,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2002,41457.204,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2003,42217.976,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2004,42982.044,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2005,43742.795,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2006,44493.461,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2007,45274.468,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2008,46096.587,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2009,46973.046,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2010,47925.009,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2011,48961.61,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2012,50100.764,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2013,51286.648,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2014,52480.985,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2015,53654.843,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2016,54799.311,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2017,55893.406,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2018,56938.212,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2019,57939.247,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2020,58900.432,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2021,59819.36,1000 inhab,X,false
818,Geography and population,Population,Rural population,Egypt,2022,60691.93,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2000,23779.764,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2001,23646.162,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2002,23475.745,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2003,23277.974,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2004,23064.517,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2005,22846.437,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2006,22622.393,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2007,22427.746,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2008,22248.124,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2009,22072.992,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2010,21903.373,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2011,21741.243,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2012,21594.353,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2013,21453.348,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2014,21304.537,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2015,21143.455,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2016,20968.583,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2017,20782.6,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2018,20586.68,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2019,20381.311,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2020,20166.625,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2021,19942.766,1000 inhab,X,false
364,Geography and population,Population,Rural population,Iran (Islamic Republic of),2022,19710.145,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2000,7423.961,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2001,7627.084,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2002,7829.905,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2003,8032.21,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2004,8233.973,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2005,8435.932,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2006,8636.414,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2007,8837.116,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2008,9045.912,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2009,9273.303,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2010,9504.63,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2011,9750.42,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2012,10019.158,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2013,10302.117,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2014,10586.506,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2015,10863.394,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2016,11125.775,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2017,11375.936,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2018,11615.946,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2019,11849.769,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2020,12080.19,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2021,12307.036,1000 inhab,X,false
368,Geography and population,Population,Rural population,Iraq,2022,12528.765,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2000,1108.89,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2001,1127.867,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2002,1147.614,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2003,1170.651,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2004,1200.064,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2005,1172.277,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2006,1129.312,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2007,1091.804,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2008,1058.386,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2009,1028.066,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2010,999.206,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2011,971.693,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2012,944.332,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2013,914.962,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2014,880.931,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2015,892.5,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2016,897.724,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2017,897.788,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2018,893.429,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2019,885.864,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2020,876.059,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2021,864.189,1000 inhab,X,false
400,Geography and population,Population,Rural population,Jordan,2022,850.463,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2000,20.507,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2001,1.938,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2002,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2003,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2004,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2005,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2006,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2007,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2008,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2009,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2010,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2011,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2012,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2013,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2014,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2015,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2016,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2017,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2018,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2019,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2020,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2021,0,1000 inhab,X,false
414,Geography and population,Population,Rural population,Kuwait,2022,0,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2000,452.951,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2001,466.411,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2002,484.74,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2003,504.674,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2004,521.754,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2005,533.172,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2006,537.103,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2007,535.295,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2008,532.696,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2009,536,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2010,549.35,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2011,574.302,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2012,607.879,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2013,644.202,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2014,675.369,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2015,695.996,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2016,704.804,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2017,703.805,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2018,695.098,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2019,681.91,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2020,666.679,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2021,649.747,1000 inhab,X,false
422,Geography and population,Population,Rural population,Lebanon,2022,630.865,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2000,1264.648,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2001,1278.407,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2002,1291.813,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2003,1304.684,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2004,1316.735,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2005,1327.659,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2006,1337.827,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2007,1347.074,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2008,1353.957,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2009,1356.609,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2010,1353.986,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2011,1345.388,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2012,1331.872,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2013,1316.263,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2014,1302.302,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2015,1292.476,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2016,1287.595,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2017,1286.565,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2018,1287.593,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2019,1288.13,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2020,1286.402,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2021,1282.075,1000 inhab,X,false
434,Geography and population,Population,Rural population,Libya,2022,1275.753,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2000,1677.325,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2001,1713.052,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2002,1738.864,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2003,1763.883,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2004,1788.286,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2005,1812.352,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2006,1835.828,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2007,1858.724,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2008,1881.382,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2009,1904.408,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2010,1927.922,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2011,1952.048,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2012,1976.397,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2013,2000.466,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2014,2023.713,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2015,2045.642,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2016,2066.106,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2017,2085.278,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2018,2103.324,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2019,2120.517,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2020,2137.053,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2021,2152.965,1000 inhab,X,false
478,Geography and population,Population,Rural population,Mauritania,2022,2168.207,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2000,13462.682,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2001,13522.209,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2002,13578.75,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2003,13633.701,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2004,13688.174,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2005,13681.416,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2006,13660.936,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2007,13640.554,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2008,13622.608,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2009,13610.904,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2010,13606.337,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2011,13609.908,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2012,13619.442,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2013,13631.417,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2014,13639.438,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2015,13639.728,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2016,13630.788,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2017,13613.878,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2018,13589.062,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2019,13557.256,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2020,13519.119,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2021,13474.542,1000 inhab,X,false
504,Geography and population,Population,Rural population,Morocco,2022,13423.201,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2000,903.438,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2001,920.182,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2002,932.313,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2003,941.833,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2004,951.516,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2005,963.377,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2006,977.912,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2007,994.598,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2008,1013.008,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2009,1032.118,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2010,1051.314,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2011,1070.58,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2012,1090.093,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2013,1109.698,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2014,1129.234,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2015,1148.56,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2016,1167.567,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2017,1186.188,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2018,1204.356,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2019,1222.03,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2020,1239.153,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2021,1255.674,1000 inhab,X,false
275,Geography and population,Population,Rural population,Palestine,2022,1271.521,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2000,21.85,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2001,21.554,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2002,21.361,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2003,21.57,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2004,22.085,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2005,22.523,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2006,23.534,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2007,24.776,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2008,25.861,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2009,26.467,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2010,26.68,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2011,27.283,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2012,27.484,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2013,27.334,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2014,26.882,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2015,26.186,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2016,25.324,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2017,24.338,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2018,23.303,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2019,22.293,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2020,21.355,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2021,20.497,1000 inhab,X,false
634,Geography and population,Population,Rural population,Qatar,2022,19.707,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2000,4184.486,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2001,4244.343,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2002,4314.583,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2003,4391.752,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2004,4470.674,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2005,4546.99,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2006,4619.627,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2007,4690.056,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2008,4760.487,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2009,4834.475,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2010,4913.575,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2011,4997.624,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2012,5084.189,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2013,5168.517,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2014,5244.48,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2015,5307.901,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2016,5357.473,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2017,5394.59,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2018,5421.205,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2019,5440.3,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2020,5454.064,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2021,5462.868,1000 inhab,X,false
682,Geography and population,Population,Rural population,Saudi Arabia,2022,5466.277,1000 inhab,X,false
729,Geography and population,Population,Rural population,Sudan,2012,23988.926,1000 inhab,X,false
729,Geography and population,Population,Rural population,Sudan,2013,24502.709,1000 inhab,X,false
729,Geography and population,Population,Rural population,Sudan,2014,25024.231,1000 inhab,X,false
729,Geography and population,Population,Rural population,Sudan,2015,25548.489,1000 inhab,X,false
729,Geography and population,Population,Rural population,Sudan,2016,26074.189,1000 inhab,X,false
729,Geography and population,Population,Rural population,Sudan,2017,26602.042,1000 inhab,X,false
729,Geography and population,Population,Rural population,Sudan,2018,27131.309,1000 inhab,X,false
729,Geography and population,Population,Rural population,Sudan,2019,27661.508,1000 inhab,X,false
729,Geography and population,Population,Rural population,Sudan,2020,28191.779,1000 inhab,X,false
729,Geography and population,Population,Rural population,Sudan,2021,28720.847,1000 inhab,X,false
729,Geography and population,Population,Rural population,Sudan,2022,29246.698,1000 inhab,X,false
760,Geography and population,Population,Rural population,Syrian Arab Republic,2000,7885.963,1000 inhab,X,false
760,Geography and population,Population,Rural population,Syrian Arab Republic,2001,7995.447,1000 inhab,X,false
760,Geography and population,Population,Rural population,Syrian Arab Republic,2002,8085.687,1000 inhab,X,false
760,Geography and population,Population,Rural population,Syrian Arab Republic,2003,8176.604,1000 inhab,X,false
760,Geography and population,Population,Rural population,Syrian Arab Republic,2004,8294.901,1000 inhab,X,false
760,Geography and population,Population,Rural population,Syrian Arab Republic,2005,8455.456,1000 inhab,X,false
760,Geography and population,Population,Rural population,Syrian Arab Republic,2006,8673.211,1000 inhab,X,false
760,Geography and population,Population,Rural population,Syrian Arab Republic,2007,8930.863,1000 inhab,X,false
760,Geography and population,Population,Rural population,Syrian Arab Republic,2008,9171.916,1000 inhab,X,false
